📊 Analyzing 715 filtered stocks from scan output...

============================================================================================================================================
  STOCKS STILL WORKING — NEAR 10/20 EMA — STRONG ADR  (Filters: dist_10EMA ≤ 5.0%, dist_20EMA ≤ 7.0%, ADR ≥ 3.0%)
============================================================================================================================================
  #    Symbol                    Close      10EMA      20EMA   Dist10   Dist20    ADR%  Rating Setup                   Score     RS
--------------------------------------------------------------------------------------------------------------------------------------------
  1    INDSWFTLAB.NS            139.15     140.44     139.87   -0.92%   -0.52%   6.00%       B BULL_FLAG                61.0  61.87
  2    INDOTHAI.NS              282.75     285.32     279.65   -0.90%   +1.11%   4.29%       A BREAKOUT                 65.0  25.99
  3    SUPRAJIT.NS              415.45     418.75     417.32   -0.79%   -0.45%   3.53%       A BREAKOUT                 66.0   6.23
  4    MATRIMONY.NS             424.20     427.20     426.26   -0.70%   -0.48%   5.30%       A BULL_FLAG                79.0  -9.65
  5    PRIMESECU.NS             280.75     282.23     279.93   -0.52%   +0.29%   3.88%       A BULL_FLAG                75.0  15.77
  6    EUROTEXIND.NS             13.27      13.29      13.20   -0.16%   +0.54%   7.35%       A BULL_FLAG                66.0   5.93
  7    ASTERDM.NS               666.05     666.13     660.64   -0.01%   +0.82%   3.64%      A+ BREAKOUT_PULLBACK       110.0  25.26
  8    ASKAUTOLTD.NS            435.50     434.70     429.79   +0.18%   +1.33%   3.58%      A+ BULL_FLAG                92.0   0.68
  9    NDLVENTURE.NS            120.63     120.37     118.31   +0.22%   +1.96%   4.36%      A+ BULL_FLAG                82.0  55.02
  10   DCMSHRIRAM.NS           1118.60    1115.57    1101.56   +0.27%   +1.55%   3.87%      A+ BREAKOUT_PULLBACK        94.0   3.66
  11   CCL.NS                  1095.30    1091.00    1077.40   +0.39%   +1.66%   3.86%       A BREAKOUT                 65.0  43.54
  12   GLAND.NS                1724.30    1717.18    1709.60   +0.41%   +0.86%   3.11%       A BULL_FLAG                76.0  10.23
  13   SGL.NS                    11.45      11.40      11.19   +0.43%   +2.31%   9.01%       A BULL_FLAG                68.0   0.78
  14   INNOVACAP.NS             694.30     691.02     690.57   +0.47%   +0.54%   3.93%       B BULL_FLAG                64.0  -3.48
  15   JASH.NS                  385.70     383.65     378.88   +0.53%   +1.80%   5.18%       A BULL_FLAG                66.0  -2.56
  16   TEGA.NS                 1714.20    1704.77    1704.51   +0.55%   +0.57%   3.59%       A BULL_FLAG                72.0   4.94
  17   GRAPHITE.NS              637.60     633.89     633.29   +0.58%   +0.68%   4.31%      A+ BULL_FLAG                92.0  19.25
  18   GRANULES.NS              632.40     628.77     617.09   +0.58%   +2.48%   3.45%      A+ BULL_FLAG                81.0  22.14
  19   HNDFDS.NS                502.90     499.66     495.21   +0.65%   +1.55%   3.55%       A BULL_FLAG                69.0    5.4
  20   SPLPETRO.NS              733.80     728.68     712.35   +0.70%   +3.01%   4.99%      A+ BULL_FLAG                97.0  18.33
  21   SHIVAUM.NS               339.90     337.51     329.73   +0.71%   +3.08%   6.66%      A+ BULL_FLAG                89.0  22.68
  22   GODAVARIB.NS             312.75     310.55     306.41   +0.71%   +2.07%   5.24%      A+ BULL_FLAG                84.0  40.36
  23   AHLEAST.NS               158.12     157.01     155.16   +0.71%   +1.91%   4.56%      A+ BULL_FLAG                81.0  17.84
  24   ARTEMISMED.NS            228.20     226.59     226.47   +0.71%   +0.76%   3.74%       B BULL_FLAG                61.0  -2.85
  25   GTECJAINX.NS              19.63      19.49      19.46   +0.74%   +0.88%   8.26%       A BULL_FLAG                76.0 -14.13
  26   XPROINDIA.NS            1044.60    1036.87    1004.89   +0.75%   +3.95%   6.54%      A+ BREAKOUT                 84.0  17.37
  27   AVADHSUGAR.NS            473.35     469.80     453.35   +0.76%   +4.41%   5.82%      A+ BREAKOUT_PULLBACK        96.0  25.26
  28   LALPATHLAB.NS           1379.80    1369.27    1362.76   +0.77%   +1.25%   3.10%       B BULL_FLAG                64.0   6.86
  29   AADHARHFC.NS             469.60     465.87     464.54   +0.80%   +1.09%   3.57%       D VCP                      52.0   8.06
  30   MASFIN.NS                306.55     304.05     303.70   +0.82%   +0.94%   3.99%       B BULL_FLAG                58.0  12.27
  31   BUTTERFLY.NS             625.05     619.84     618.25   +0.84%   +1.10%   6.02%      A+ BULL_FLAG                86.0   5.23
  32   DOMS.NS                 2373.40    2353.34    2318.66   +0.85%   +2.36%   3.81%      A+ BULL_FLAG                86.0   1.45
  33   KAUSHALYA.NS             825.00     817.92     814.30   +0.87%   +1.31%   4.80%       A BULL_FLAG                71.0  -2.77
  34   CENTURYPLY.NS            727.30     721.06     713.47   +0.87%   +1.94%   4.13%      A+ BULL_FLAG                82.0   2.86
  35   PASHUPATI.NS            1004.00     995.20     987.99   +0.88%   +1.62%   4.15%       A BULL_FLAG                74.0  45.61
  36   MANCREDIT.NS             174.49     172.85     171.30   +0.95%   +1.86%   4.29%       A BULL_FLAG                66.0  12.87
  37   LINDEINDIA.NS           7240.00    7170.98    7092.42   +0.96%   +2.08%   4.21%      A+ BULL_FLAG                87.0   28.2
  38   DONEAR.NS                 89.22      88.33      87.58   +1.01%   +1.87%   3.67%       A BULL_FLAG                76.0   4.31
  39   BLSE.NS                  161.93     160.25     157.17   +1.05%   +3.03%   4.49%      A+ BULL_FLAG                84.0  -0.87
  40   AKZOINDIA.NS            2986.80    2955.78    2935.94   +1.05%   +1.73%   3.50%       A BULL_FLAG                68.0   0.04
  41   GODREJAGRO.NS            587.20     581.11     580.41   +1.05%   +1.17%   3.49%       A BULL_FLAG                69.0   3.16
  42   GLOBUSSPR.NS             916.10     906.51     893.48   +1.06%   +2.53%   4.45%       A BULL_FLAG                70.0  -5.82
  43   ORICONENT.NS              67.51      66.80      66.41   +1.06%   +1.65%   4.06%       A BULL_FLAG                77.0  36.29
  44   AGROPHOS.NS               31.82      31.47      31.33   +1.13%   +1.57%   6.88%       A BULL_FLAG                78.0  -3.18
  45   REGENCERAM.NS             44.31      43.81      43.04   +1.15%   +2.94%   8.79%       A BULL_FLAG                71.0  12.84
  46   SILGO.NS                  75.60      74.73      74.01   +1.17%   +2.15%   4.84%       A BULL_FLAG                74.0  22.36
  47   TCI.NS                   999.00     987.31     981.48   +1.18%   +1.78%   4.17%      A+ BULL_FLAG                87.0  -0.31
  48   SUPERHOUSE.NS            148.20     146.44     145.32   +1.20%   +1.98%   5.36%       A BREAKOUT                 66.0   6.83
  49   PRIVISCL.NS             2973.90    2938.60    2929.95   +1.20%   +1.50%   3.00%       A BULL_FLAG                66.0  31.18
  50   ESABINDIA.NS            5401.20    5336.09    5323.33   +1.22%   +1.46%   3.05%       A BREAKOUT                 75.0   12.3
  51   BHARATWIRE.NS            168.14     166.10     165.02   +1.23%   +1.89%   4.61%       A BULL_FLAG                71.0   4.46
  52   AKASH.NS                  26.56      26.23      25.66   +1.25%   +3.50%   5.43%      A+ BREAKOUT                 90.0  15.94
  53   TRIVENI.NS               389.20     384.38     380.49   +1.25%   +2.29%   4.76%      A+ BULL_FLAG                95.0  13.19
  54   SANGAMIND.NS             447.30     441.71     439.31   +1.27%   +1.82%   3.45%       A BULL_FLAG                66.0    9.8
  55   BOROSCI.NS               113.62     112.17     110.10   +1.30%   +3.19%   4.46%      A+ BULL_FLAG                87.0   0.33
  56   GICRE.NS                 389.50     384.50     379.19   +1.30%   +2.72%   3.34%      A+ BREAKOUT                 90.0  14.09
  57   VTL.NS                   553.95     546.65     540.97   +1.34%   +2.40%   3.53%       A BULL_FLAG                66.0  43.59
  58   ADVANIHOTR.NS             52.34      51.62      51.51   +1.39%   +1.62%   3.92%       B BULL_FLAG                58.0   1.45
  59   INDIAMART.NS            2106.80    2077.80    2074.95   +1.40%   +1.53%   3.21%       B BULL_FLAG                64.0   4.45
  60   MANAKSTEEL.NS             55.14      54.37      53.97   +1.42%   +2.17%   6.30%       B BULL_FLAG                63.0   1.85
  61   DRCSYSTEMS.NS             15.69      15.47      14.99   +1.45%   +4.69%   9.70%      A+ BULL_FLAG                81.0  -8.22
  62   RELIGARE.NS              225.88     222.65     221.17   +1.45%   +2.13%   4.72%       B BULL_FLAG                64.0  -0.48
  63   CHAMBLFERT.NS            457.25     450.69     444.68   +1.46%   +2.83%   3.41%       B BULL_FLAG                61.0  -1.98
  64   GATEWAY.NS                56.28      55.46      55.08   +1.48%   +2.19%   4.67%      A+ BULL_FLAG                82.0    2.7
  65   FEDFINA.NS               139.49     137.46     135.27   +1.48%   +3.12%   4.18%       A BULL_FLAG                79.0   14.1
  66   MODIRUBBER.NS            117.85     116.01     115.05   +1.59%   +2.43%   4.69%       B BULL_FLAG                61.0   7.95
  67   DBSTOCKBRO.NS             26.51      26.09      25.84   +1.59%   +2.61%   4.19%       A BULL_FLAG                70.0   9.61
  68   ACI.NS                   610.05     600.47     592.04   +1.59%   +3.04%   3.95%       A BREAKOUT                 65.0  14.16
  69   CORDSCABLE.NS            157.24     154.76     153.78   +1.60%   +2.25%   5.31%       A BULL_FLAG                66.0   1.96
  70   AYMSYNTEX.NS             190.68     187.68     186.51   +1.60%   +2.24%   4.92%      A+ BULL_FLAG                86.0  14.77
  71   PONNIERODE.NS            283.80     279.32     276.35   +1.60%   +2.70%   3.52%       A BULL_FLAG                73.0  11.47
  72   BRNL.NS                   20.01      19.69      19.36   +1.63%   +3.33%   5.68%      A+ BULL_FLAG                87.0  -2.15
  73   IGIL.NS                  337.55     332.06     329.31   +1.65%   +2.50%   4.22%      A+ BULL_FLAG                82.0    8.1
  74   CARRARO.NS               488.35     480.37     477.13   +1.66%   +2.35%   5.48%       A BREAKOUT                 75.0  21.15
  75   INDRAMEDCO.NS            424.75     417.77     409.82   +1.67%   +3.64%   4.49%       A BREAKOUT                 73.0   10.3
  76   JTEKTINDIA.NS            132.20     130.00     129.72   +1.69%   +1.91%   3.71%       B BULL_FLAG                58.0  -2.37
  77   CROWN.NS                 123.47     121.41     120.30   +1.70%   +2.63%   6.15%      A+ BULL_FLAG                81.0   -5.6
  78   INDGN.NS                 483.60     475.53     468.51   +1.70%   +3.22%   3.97%       A BULL_FLAG                77.0  -0.79
  79   MAGADSUGAR.NS            491.30     482.93     472.42   +1.73%   +4.00%   4.45%       A BULL_FLAG                79.0  -0.33
  80   JAYSREETEA.NS             82.51      81.08      80.80   +1.76%   +2.12%   4.17%       A BULL_FLAG                77.0   1.71
  81   JGCHEM.NS                353.15     346.97     344.35   +1.78%   +2.55%   4.65%       A BULL_FLAG                69.0   8.67
  82   HSCL.NS                  470.55     462.34     458.46   +1.78%   +2.64%   4.58%       A BULL_FLAG                73.0  10.72
  83   TEXINFRA.NS               99.55      97.81      95.96   +1.78%   +3.74%   4.25%      A+ BULL_FLAG                84.0   9.28
  84   MEDPLUS.NS               868.70     853.46     845.15   +1.79%   +2.79%   3.28%       A BREAKOUT                 65.0  19.73
  85   AXISCADES.NS            1652.40    1623.23    1560.14   +1.80%   +5.91%   5.04%       A BULL_FLAG                66.0  36.35
  86   WSI.NS                    75.16      73.82      72.37   +1.81%   +3.86%   7.38%      A+ BULL_FLAG                83.0   2.53
  87   BHAGCHEM.NS              214.65     210.82     204.95   +1.82%   +4.73%   6.51%      A+ BULL_FLAG                81.0   2.13
  88   ELECTCAST.NS              81.86      80.40      77.85   +1.82%   +5.15%   5.91%       A BULL_FLAG                76.0   6.49
  89   INDIASHLTR.NS            776.50     762.56     749.17   +1.83%   +3.65%   5.10%      A+ BREAKOUT_PULLBACK        98.0   2.59
  90   MAITHANALL.NS            944.45     927.48     927.17   +1.83%   +1.86%   4.20%       A BULL_FLAG                74.0   1.49
  91   RUCHINFRA.NS               6.11       6.00       5.77   +1.84%   +5.92%   9.06%      A+ BULL_FLAG                80.0   4.53
  92   NLCINDIA.NS              276.10     270.99     267.94   +1.88%   +3.05%   3.83%      A+ BULL_FLAG                92.0   9.46
  93   ADROITINFO.NS              9.54       9.36       9.27   +1.89%   +2.88%   8.07%       B BREAKOUT                 58.0   3.74
  94   FLUOROCHEM.NS           3342.90    3280.98    3256.02   +1.89%   +2.67%   4.64%      A+ BULL_FLAG                84.0   0.19
  95   KTKBANK.NS               240.94     236.44     230.50   +1.90%   +4.53%   4.41%       A BULL_FLAG                66.0   39.1
  96   UJJIVANSFB.NS             58.62      57.52      56.47   +1.91%   +3.81%   4.47%      A+ BREAKOUT                 80.0   33.3
  97   VINCOFE.NS               139.34     136.73     135.74   +1.91%   +2.65%   4.30%       A BULL_FLAG                69.0   9.48
  98   COROMANDEL.NS           2093.60    2054.23    2041.48   +1.92%   +2.55%   4.14%       A BREAKOUT                 70.0   5.72
  99   MBAPL.NS                 528.45     518.44     500.05   +1.93%   +5.68%   4.33%       A BULL_FLAG                77.0  46.42
  100  HCL-INSYS.NS              12.09      11.86      11.79   +1.94%   +2.55%   6.31%       A BULL_FLAG                76.0  -2.38
  101  PILANIINVS.NS           4600.00    4511.69    4503.46   +1.96%   +2.14%   4.27%      A+ BULL_FLAG                82.0   1.73
  102  GMRAIRPORT.NS             94.92      93.09      92.58   +1.96%   +2.53%   3.52%       A BULL_FLAG                75.0  11.41
  103  AAATECH.NS                98.13      96.22      95.51   +1.98%   +2.74%   3.41%       B BULL_FLAG                63.0  16.09
  104  DIFFNKG.NS               281.64     276.15     270.30   +1.99%   +4.20%   5.49%       A BULL_FLAG                72.0  -3.44
  105  INDIACEM.NS              380.35     372.88     372.72   +2.00%   +2.05%   3.26%       B BREAKOUT                 58.0   9.31
  106  IEX.NS                   129.14     126.58     124.64   +2.02%   +3.61%   3.09%       A BULL_FLAG                74.0  -0.03
  107  LAURUSLABS.NS           1087.80    1065.80    1046.16   +2.06%   +3.98%   3.20%      A+ BULL_FLAG                82.0  34.32
  108  GOKULAGRO.NS             199.26     195.21     188.73   +2.07%   +5.58%   5.79%      A+ BULL_FLAG                89.0  29.66
  109  INDIAGLYCO.NS            924.65     905.92     895.78   +2.07%   +3.22%   4.15%       B BULL_FLAG                64.0  17.88
  110  GUJAPOLLO.NS             441.55     432.51     422.90   +2.09%   +4.41%   5.60%       A BULL_FLAG                79.0  17.73
  111  GRMOVER.NS               167.33     163.89     161.00   +2.10%   +3.93%   3.58%       A BULL_FLAG                73.0  35.77
  112  HEXATRADEX.NS            165.00     161.54     160.75   +2.14%   +2.65%   3.75%       B BREAKOUT                 58.0   3.63
  113  CARYSIL.NS               841.40     823.67     821.86   +2.15%   +2.38%   4.45%       B BULL_FLAG                64.0  12.45
  114  LTFOODS.NS               406.30     397.76     393.23   +2.15%   +3.32%   3.40%      A+ BULL_FLAG                84.0  16.26
  115  TIRUPATIFL.NS             44.30      43.36      42.70   +2.17%   +3.75%   7.09%      A+ BULL_FLAG                89.0   29.0
  116  HEG.NS                   565.95     553.85     544.23   +2.19%   +3.99%   4.39%      A+ BULL_FLAG                94.0  10.67
  117  ARMANFIN.NS             1591.20    1557.01    1524.35   +2.20%   +4.39%   5.04%      A+ BULL_FLAG                87.0  19.27
  118  ALIVUS.NS               1046.25    1023.73     996.63   +2.20%   +4.98%   3.75%       A BULL_FLAG                72.0  20.79
  119  NILASPACES.NS             13.66      13.36      13.24   +2.21%   +3.20%   5.68%       A BULL_FLAG                78.0  -0.02
  120  GLOBAL.NS                101.48      99.29      98.66   +2.21%   +2.86%   5.26%       A BULL_FLAG                79.0  54.32
