nse_ticker,company_name,macro,sector,industry,basic_industry,themes
DHRUV,Dhruv Consultancy Services Limited,Services,Services,Commercial Services & Supplies,Consulting Services,
DHUNINV,Dhunseri Investments Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
DIACABS,Diamond Power Infrastructure Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,semis;capex
DIAMINESQ,Diamines & Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
DIAMONDYD,Prataap Snacks Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
DICIND,DIC India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Printing Inks,
DIFFNKG,Diffusion Engineers Limited,Industrials,Capital Goods,Industrial Products,Other Industrial Products,capex
DIGIDRIVE,Digidrive Distributors Limited,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,discretionary
DIGISPICE,DiGiSPICE Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services;new_age_tech
DIGITIDE,Digitide Solutions Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services
DIGJAMLMTD,Digjam Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
DISHTV,Dish TV India Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,
DIVGIITTS,Divgi Torqtransfer Systems Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
DIVI,,,,,,
DIVISLAB,Divi's Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
DIXON,Dixon Technologies (India) Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,semis;discretionary;new_age_tech
DLF,DLF Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
DLINKINDIA,D-Link (India) Limited,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,
DMART,Avenue Supermarts Limited,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,discretionary
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
DNAMEDIA,Diligent Media Corporation Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Electronic Media,
DODLA,Dodla Dairy Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products,
DOLATALGO,Dolat Algotech Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,capital_markets;new_age_tech
DOLLAR,Dollar Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,discretionary
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling,
DOMS,DOMS Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary,
DONEAR,Donear Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
DPABHUSHAN,D. P. Abhushan Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,discretionary
DPSCLTD,DPSC Limited,Utilities,Power,Power,Integrated Power Utilities,
DPWIRES,D P Wires Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,metals
DRCSYSTEMS,DRC Systems India Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,it_services
DREAMFOLKS,Dreamfolks Services Limited,Services,Services,Transport Infrastructure,Airport & Airport services,
DREDGECORP,Dredging Corporation of India Limited,Services,Services,Engineering Services,Dredging,
DRLALPATH,,,,,,
DRONEACHARYA,,,,,,
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
DSFCL,DCM Shriram Fine Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
DSPIM,,,,,,
DSSL,Dynacons Systems & Solutions Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services
DTDC,,,,,,
DTIL,Dhunseri Tea & Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,fmcg_staples
DUCON,Ducon Infratechnologies Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,capex;new_age_tech
DVL,Dhunseri Ventures Limited,Diversified,Diversified,Diversified,Diversified,
DWARKESH,Dwarikesh Sugar Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,fmcg_staples
DYCL,Dynamic Cables Limited,Industrials,Capital Goods,Industrial Products,Cables - Electricals,
DYNAMATECH,Dynamatic Technologies Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,capex;new_age_tech
DYNPRO,Dynemic Products Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
EASEMYTRIP,Easy Trip Planners Limited,Consumer Discretionary,Consumer Services,Leisure Services,Tour Travel Related Services,discretionary;new_age_tech
EBGNG,GNG Electronics Limited,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,semis
ECLERX,eClerx Services Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,Services,Services,Transport Services,Road Transport,logistics
EDELWEISS,Edelweiss Financial Services Limited,Financial Services,Financial Services,Finance,Holding Company,
EFCIL,EFC (I) Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
EICHERMOT,Eicher Motors Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,ev
EID,,,,,,
EIDPARRY,EID Parry India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,
EIEL,Enviro Infra Engineers Limited,Utilities,Utilities,Other Utilities,Water Supply & Management,
EIFFL,Euro India Fresh Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
EIHAHOTELS,EIH Associated Hotels Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,discretionary
EIHOTEL,EIH Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,discretionary
EIMCOELECO,Eimco Elecon (India) Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,capex
EKART,,,,,,
EKC,Everest Kanto Cylinder Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,ev;capex
ELCIDSIMP,,,,,,
ELCOMPCORP,,,,,,
ELCOMPONENT,,,,,,
ELDECO,,,,,,
ELDEHSG,Eldeco Housing And Industries Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
ELECON,Elecon Engineering Company Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,capex
ELECTCAST,Electrosteel Castings Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,metals
ELECTHERM,Electrotherm (India) Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,metals
ELGI,,,,,,
ELGIEQUIP,Elgi Equipments Limited,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,
ELGIRUBCO,Elgi Rubber Company Limited,Industrials,Capital Goods,Industrial Products,Rubber,
ELIN,Elin Electronics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,semis;discretionary
ELIXIR,,,,,,
ELLEN,Ellenbarrie Industrial Gases Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases,capex
ELMEASURE,,,,,,
EMAMI,,,,,,
EMAMILTD,Emami Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,fmcg_staples
EMAMIPAP,Emami Paper Mills Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,
EMAMIREAL,Emami Realty Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
EMBASSY,Embassy Office Parks REIT,Consumer Discretionary,Realty,Realty,Real Estate Investment Trusts (REITs),realty
EMCURE,Emcure Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
EMGDELTA,,,,,,
EMIL,Electronics Mart India Limited,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,semis;discretionary
EMKAY,Emkay Global Financial Services Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,capital_markets
EMMBI,Emmbi Industries Limited,Industrials,Capital Goods,Industrial Products,Packaging,
EMMVEE,Emmvee Photovoltaic Power Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,semis;capex
EMSLIMITED,EMS Limited,Utilities,Utilities,Other Utilities,Waste Management,
EMUDHRA,eMudhra Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services
ENCUBE,,,,,,cdmo_pharma
ENDURANCE,Endurance Technologies Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev;new_age_tech
ENERGYDEV,Energy Development Company Limited,Utilities,Power,Power,Power Generation,ev
ENGINERSIN,Engineers India Limited,Industrials,Construction,Construction,Civil Construction,
ENIL,Entertainment Network (India) Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment,
ENRIN,Siemens Energy India Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,capex
ENTERO,Entero Healthcare Solutions Limited,Consumer Discretionary,Consumer Services,Retailing,Pharmacy Retail,discretionary
EPACK,EPACK Durable Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,semis;discretionary
EPACKPEB,EPack Prefab Technologies Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,semis;capex;new_age_tech
EPIGRAL,Epigral Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
EPL,EPL Limited,Industrials,Capital Goods,Industrial Products,Packaging,
EQUINOX,,,,,,
EQUITASBNK,Equitas Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,small_fin_banks
ERIS,Eris Lifesciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
EROS,,,,,,
EROSMEDIA,Eros International Media Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Film Production Distribution & Exhibition,
ESAB,,,,,,
ESABINDIA,Esab India Limited,Industrials,Capital Goods,Industrial Products,Other Industrial Products,capex
ESAFSFB,ESAF Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,small_fin_banks
ESCORIT,,,,,,
ESCORTS,Escorts Kubota Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Tractors,rural_agri
ESGL,,,,,,
ESSARSHPNG,Essar Shipping Limited,Services,Services,Transport Services,Shipping,logistics
ESSENTIA,Integra Essentia Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,
ESTER,Ester Industries Limited,Industrials,Capital Goods,Industrial Products,Packaging,
ETERNAL,ETERNAL LIMITED,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,discretionary
ETHNIX,,,,,,
ETHOSLTD,Ethos Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,discretionary
EUREKAFORB,Eureka Forbes Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,discretionary
EUROBOND,Euro Panel Products Limited,Industrials,Capital Goods,Industrial Products,Aluminium Copper & Zinc Products,metals
EUROPRATIK,Euro Pratik Sales Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,discretionary
EUROTEXIND,Eurotex Industries and Exports Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
EVEREADY,Eveready Industries India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,ev
EVERESTIND,Everest Industries Limited,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials,ev
EXCEL,,,,,,
EXCELINDUS,Excel Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
EXCELSOFT,Excelsoft Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services;new_age_tech
EXICOM,Exicom Tele-Systems Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,capex
EXIDEIND,Exide Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
EXPERION,,,,,,
EXPLEOSOL,Expleo Solutions Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services
EXXARO,Exxaro Tiles Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,discretionary
FABTECH,Fabtech Technologies Limited,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,semis;new_age_tech
FACORALL,,,,,,
FACT,Fertilizers and Chemicals Travancore Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,specialty_chem;rural_agri
FAIRCHEM,,,,,,
FAIRCHEMOR,Fairchem Organics Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
FCL,Fineotex Chemical Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
FCSSOFT,FCS Software Solutions Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services
FDC,FDC Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
FEDERALBNK,The Federal Bank  Limited,Financial Services,Financial Services,Banks,Private Sector Bank,private_banks
FEDFINA,Fedbank Financial Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
FEVICOL,,,,,,
FIEM,,,,,,
FIEMIND,Fiem Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
FILATEX,Filatex India Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
FILATFASH,Filatex Fashions Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,discretionary
FINCABLES,Finolex Cables Limited,Industrials,Capital Goods,Industrial Products,Cables - Electricals,
FINEORG,Fine Organic Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
FINEOTEX,,,,,,
FINKURVE,Finkurve Financial Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
FINOLEX,,,,,,
FINOPB,Fino Payments Bank Limited,Financial Services,Financial Services,Banks,Other Bank,small_fin_banks
FINPIPE,Finolex Industries Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
FIRSTCRY,Brainbees Solutions Limited,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,discretionary;new_age_tech
FISCHER,Fischer Medical Ventures Limited,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,
FIVESTAR,Five-Star Business Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nbfc
FLAIR,Flair Writing Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary,
FLEXITUFF,Flexituff Ventures International Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
FLUOROCHEM,Gujarat Fluorochemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
FMGOETZE,Federal-Mogul Goetze (India) Limited.,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
FMNL,Future Market Networks Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
FOCUS,Focus Lighting and Fixtures Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,semis;discretionary
FOODSIN,Foods & Inns Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
FORCEMOT,FORCE MOTORS LTD,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,ev
FORTIS,Fortis Healthcare Limited,Healthcare,Healthcare,Healthcare Services,Hospital,hospitals
FOSECOIND,Foseco India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
FRACTAL,Fractal Analytics Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,it_services
FSL,Firstsource Solutions Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),
FSS,,,,,,
FUSION,Fusion Finance Limited,Financial Services,Financial Services,Finance,Microfinance Institutions,small_fin_banks
GABRIEL,Gabriel India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
GAEL,Gujarat Ambuja Exports Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,fmcg_staples
GAIL,GAIL (India) Limited,Energy,Oil Gas & Consumable Fuels,Gas,Gas Transmission/Marketing,psu_capex;oil_downstream
GALAPREC,Gala Precision Engineering Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,capex
GALAXYSURF,Galaxy Surfactants Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
GALLANTT,Gallantt Ispat Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,metals
GANDHAR,Gandhar Oil Refinery (India) Limited,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants,
GANDHITUBE,Gandhi Special Tubes Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,metals
GANECOS,Ganesha Ecosphere Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
GANESHA,,,,,,
GANESHBE,Ganesh Benzoplast Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Storage & Transportation,
GANESHCP,Ganesh Consumer Products Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
GANESHHOU,GANESH HOUSING LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
GANGAFORGE,Ganga Forging Limited,Industrials,Capital Goods,Industrial Products,Castings & Forgings,
GANGESSECU,Ganges Securities Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,fmcg_staples
GARFIBRES,Garware Technical Fibres Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary;new_age_tech
GARMENTSIND,,,,,,
GARUDA,Garuda Construction and Engineering Limited,Industrials,Construction,Construction,Civil Construction,
GARWARE,,,,,,
GATECH,GACM Technologies Limited,Financial Services,Financial Services,Finance,Other Financial Services,new_age_tech
GATECHDVR,GACM Technologies Limited,Financial Services,Financial Services,Finance,Other Financial Services,new_age_tech
GATEWAY,Gateway Distriparks Limited,Services,Services,Transport Services,Logistics Solution Provider,logistics
GATI,,,,,,logistics
GAUDIUMIVF,Gaudium IVF and Women Health Limited,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,hospitals
GAYAHWS,Gayatri Highways Limited,Services,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity,
GE SHIPPING,,,,,,
GEECEE,GeeCee Ventures Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
GEEKAYWIRE,Geekay Wires Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,metals
GENCON,Generic Engineering Construction and Projects Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
GENESYS,Genesys International Corporation Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services
GENUS,,,,,,
GENUSPAPER,Genus Paper & Boards Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,
GENUSPOWER,Genus Power Infrastructures Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,semis;capex
GEOJITFSL,Geojit Financial Services Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,capital_markets
GEPIL,,,,,,
GESHIP,The Great Eastern Shipping Company Limited,Services,Services,Transport Services,Shipping,logistics
GFLLIMITED,GFL Limited,Financial Services,Financial Services,Finance,Holding Company,
GHCL,GHCL Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,specialty_chem
GHCLTEXTIL,GHCL Textiles Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
GICHSGFIN,GIC Housing Finance Limited,Financial Services,Financial Services,Finance,Housing Finance Company,nbfc
GICRE,General Insurance Corporation of India,Financial Services,Financial Services,Insurance,General Insurance,general_insurance
GILLANDERS,Gillanders Arbuthnot & Company Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,fmcg_staples
GILLETTE,Gillette India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,fmcg_staples
GINNIFILA,Ginni Filaments Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
GIPCL,Gujarat Industries Power Company Limited,Utilities,Power,Power,Power Generation,
GKENERGY,GK Energy Limited,Industrials,Construction,Construction,Civil Construction,
GKSL,Gujarat Kidney And Super Speciality Limited,Healthcare,Healthcare,Healthcare Services,Hospital,hospitals
GKWLIMITED,GKW Limited,Financial Services,Financial Services,Finance,Investment Company,
GLAND,Gland Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
GLOBAL,Global Education Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,discretionary
GLOBALE,Globale Tessile Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products,discretionary
GLOBALVECT,Global Vectra Helicorp Limited,Services,Services,Transport Services,Airline,logistics
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
GLOBECIVIL,Globe Civil Projects Limited,Industrials,Construction,Construction,Civil Construction,
GLOBUSSPR,Globus Spirits Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,
GLOSTERLTD,Gloster Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Jute & Jute Products,
GLOTTIS,Glottis Limited,Services,Services,Transport Services,Logistics Solution Provider,logistics
GMBREW,GM Breweries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,
GMDC,,,,,,
GMDCLTD,Gujarat Mineral Development Corporation Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,ev;metals
GMMPFAUDLR,GMM Pfaudler Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,capex
GMRAIRPORT,GMR AIRPORTS LIMITED,Services,Services,Transport Infrastructure,Airport & Airport services,
GMRINFRA,,,,,,
GMRP&UI,GMR Power and Urban Infra Limited,Utilities,Power,Power,Power Generation,
GNA,GNA Axles Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,specialty_chem;rural_agri
GOA,,,,,,
GOACARBON,Goa Carbon Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,metals
GOCLCORP,GOCL Corporation Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives,
GOCOLORS,Go Fashion (India) Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,discretionary
GODAVARIB,Godavari Biorefineries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,fmcg_staples
GODFREY,,,,,,
GODFRYPHLP,Godfrey Phillips India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,
GODIGIT,Go Digit General Insurance Limited,Financial Services,Financial Services,Insurance,General Insurance,general_insurance
GODREJAGRO,Godrej Agrovet Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,rural_agri
GODREJAP,,,,,,
GODREJCP,Godrej Consumer Products Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,fmcg_staples
GODREJFIN,,,,,,
GODREJIND,Godrej Industries Limited,Diversified,Diversified,Diversified,Diversified,
GODREJPROP,Godrej Properties Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
GOKALDAS,,,,,,
GOKEX,Gokaldas Exports Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,discretionary
GOKUL,Gokul Refoils and Solvent Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,fmcg_staples
GOKULAGRO,Gokul Agro Resources Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,fmcg_staples
GOLDBEES,NIPPON INDIA ETF GOLD BEES,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,capital_markets
GOLDENKA,,,,,,
GOLDI,,,,,,
GOLDIAM,Goldiam International Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,discretionary
GOLDTECH,AION-TECH SOLUTIONS LIMITED,Information Technology,Information Technology,IT - Software,Software Products,new_age_tech
GOODLUCK,Goodluck India Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,metals
GOPAL,Gopal Snacks Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
GOVAL,,,,,,
GPIL,Godawari Power And Ispat limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,metals
GPPL,Gujarat Pipavav Port Limited,Services,Services,Transport Infrastructure,Port & Port services,
GPT,,,,,,
GPTHEALTH,GPT Healthcare Limited,Healthcare,Healthcare,Healthcare Services,Hospital,hospitals
GPTINFRA,GPT Infraprojects Limited,Industrials,Construction,Construction,Civil Construction,
GRANULES,Granules India Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
GRAPHITE,Graphite India Limited,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,
GRASIM,Grasim Industries Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,cement
GRAVITA,Gravita India Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,metals
GREAVES,,,,,,
GREAVESCOT,Greaves Cotton Limited,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,ev
GREENKO,,,,,,
GREENLAM,Greenlam Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,renewables;discretionary
GREENLAMIND,,,,,,
GREENPANEL,Greenpanel Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,renewables;discretionary
GREENPLY,Greenply Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,renewables;discretionary
GREENPOWER,Orient Green Power Company Limited,Utilities,Power,Power,Power Generation,renewables
GRINDMASTER,,,,,,
GRINDWELL,Grindwell Norton Limited,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings,
