nse_ticker,company_name,macro,sector,industry,basic_industry,themes
ADSL,Allied Digital Services Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services;new_age_tech
ADVAIT,Advait Energy Transitions Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,semis;capex
ADVANCE,Advance Agrolife Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,specialty_chem;rural_agri
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,discretionary
ADVENTHTL,Advent Hotels International Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,discretionary
ADVENZYMES,Advanced Enzyme Technologies Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,new_age_tech
AEGASIND,,,,,,
AEGISLOG,Aegis Logistics Limited,Energy,Oil Gas & Consumable Fuels,Gas,Trading - Gas,
AEGISVOPAK,Aegis Vopak Terminals Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Storage & Transportation,
AEPL,Artemis Electricals and Projects Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,ev;semis;capex
AEQUS,Aequs Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,defense
AEROENTER,Aeroflex Enterprises Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,metals
AEROFLEX,Aeroflex Industries Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,metals
AERONEU,Aeroflex Neu Limited,Industrials,Capital Goods,Industrial Products,Packaging,
AETHER,Aether Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,specialty_chem
AFCONS,Afcons Infrastructure Limited,Industrials,Construction,Construction,Civil Construction,
AFFLE,Affle 3i Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services
AFFORDABLE,Affordable Robotic & Automation Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,capex
AFSL,Abans Financial Services Limited,Financial Services,Financial Services,Finance,Holding Company,
AGANORA,,,,,,
AGARIND,Agarwal Industrial Corporation Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,specialty_chem
AGARWALEYE,Dr. Agarwal's Health Care Limited,Healthcare,Healthcare,Healthcare Services,Hospital,hospitals
AGI,AGI Greenpac Limited,Industrials,Capital Goods,Industrial Products,Packaging,renewables
AGIIL,Agi Infra Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
AGROPHOS,Agro Phos India Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,specialty_chem;rural_agri
AHCL,Anlon Healthcare Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
AHLADA,Ahlada Engineers Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,discretionary
AHLEAST,Asian Hotels (East) Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,discretionary
AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,Construction,Construction,Civil Construction,
AIAENG,AIA Engineering Limited,Industrials,Capital Goods,Industrial Products,Castings & Forgings,
AIIL,Authum Investment & Infrastructure Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
AIRAN,Airan Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services
AIROLAM,Airo Lam limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,discretionary
AJANTPHARM,Ajanta Pharma Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,cdmo_pharma;branded_pharma
AJAXENGG,Ajax Engineering Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,
AJMERA,Ajmera Realty & Infra India Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
AJOONI,Ajooni Biotech Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,new_age_tech
AKASAAIR,,,,,,
AKASH,Akash Infra-Projects Limited,Industrials,Construction,Construction,Civil Construction,
AKG,Akg Exim Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,
AKI,AKI India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,discretionary
AKSHAR,Akshar Spintex Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
AKSHARCHEM,AksharChem India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,specialty_chem
AKSHOPTFBR,Aksh Optifibre Limited,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories,
