nse_ticker,company_name,macro,sector,industry,basic_industry,source
20MICRONS,20 Microns Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,nse_official
21STCENMGM,21st Century Management Services Limited,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services,nse_official
360ONE,360 ONE WAM LIMITED,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
3IINFOLTD,3i Infotech Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
3MINDIA,3M India Limited,Diversified,Diversified,Diversified,Diversified,nse_official
3PLAND,3P Land Holdings Limited,Financial Services,Financial Services,Finance,Investment Company,nse_official
4THAND,,,,,,missing
5PAISA,5Paisa Capital Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
63MOONS,63 moons technologies limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
AAATECH,AAA Technologies Limited,Services,Services,Commercial Services & Supplies,Consulting Services,nse_official
AADHARHFC,Aadhar Housing Finance Limited,Financial Services,Financial Services,Finance,Housing Finance Company,nse_official
AADINATH,,,,,,missing
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AARNAV,Aarnav Fashions Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
AARON,Aaron Industries Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
AARTECH,Aartech Solonics Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
AARTI,,,,,,missing
AARTIDRUGS,Aarti Drugs Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AARTIIND,Aarti Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AARTISURF,Aarti Surfactants Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
AARVI,Aarvi Encon Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
AAVAS,Aavas Financiers Limited,Financial Services,Financial Services,Finance,Housing Finance Company,nse_official
AAVIN,,,,,,missing
ABB,ABB India Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
ABBOTINDIA,Abbott India Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Services,Finance,Investment Company,nse_official
ABCOTS,A B Cotspin India Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
ABDL,Allied Blenders and Distillers Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,nse_official
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,nse_official
ABHIINV,,,,,,missing
ABHISHEK,Abhishek Corporation Limited,CONSUMER,TEXTILES,TEXTILES - COTTON,SPINNING-COTTON/BLENDED,nse_official
ABINFRA,A B Infrabuild Limited,Industrials,Construction,Construction,Civil Construction,nse_official
ABIRLANUVO,Aditya Birla Nuvo Limited,SERVICES,SERVICES,SERVICES,DIVERSIFIED SERVICES,nse_official
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,nse_official
ABREL,Aditya Birla Real Estate Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Financial Services,Capital Markets,Asset Management Company,nse_official
ABSLI,,,,,,missing
ACC,ACC Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
ACCELYA,Accelya Solutions India Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
ACCIND,,,,,,missing
ACCURACY,Accuracy Shipping Limited,Services,Services,Transport Services,Logistics Solution Provider,nse_official
ACE,Action Construction Equipment Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,nse_official
ACEINTEG,Ace Integrated Solutions Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
ACI,Archean Chemical Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
ACL,Andhra Cements Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
ACMESOLAR,Acme Solar Holdings Limited,Utilities,Power,Power,Power Generation,nse_official
ACUTAAS,Acutaas Chemicals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
ADANIAIRPORT,,,,,,missing
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Power,Power,Power Distribution,nse_official
ADANIENT,Adani Enterprises Limited,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,nse_official
ADANIGAS,,,,,,missing
ADANIGREEN,Adani Green Energy Limited,Utilities,Power,Power,Power Generation,nse_official
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Services,Services,Transport Infrastructure,Port & Port services,nse_official
ADANIPOWER,Adani Power Limited,Utilities,Power,Power,Integrated Power Utilities,nse_official
ADANITRANS,,,,,,missing
ADFFOODS,ADF Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,nse_official
ADL,Archidply Decor Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,nse_official
ADOR,Ador Welding Limited,Industrials,Capital Goods,Industrial Products,Other Industrial Products,nse_official
ADROITINFO,Adroit Infotech Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
ADSL,Allied Digital Services Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
ADVAIT,Advait Energy Transitions Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
ADVANCE,Advance Agrolife Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,nse_official
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
ADVENTHTL,Advent Hotels International Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
ADVENZYMES,Advanced Enzyme Technologies Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,nse_official
AEGASIND,,,,,,missing
AEGISLOG,Aegis Logistics Limited,Energy,Oil Gas & Consumable Fuels,Gas,Trading - Gas,nse_official
AEGISVOPAK,Aegis Vopak Terminals Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Storage & Transportation,nse_official
AEPL,Artemis Electricals and Projects Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
AEQUS,Aequs Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
AEROENTER,Aeroflex Enterprises Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
AEROFLEX,Aeroflex Industries Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
AERONEU,Aeroflex Neu Limited,Industrials,Capital Goods,Industrial Products,Packaging,nse_official
AETHER,Aether Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
AFCONS,Afcons Infrastructure Limited,Industrials,Construction,Construction,Civil Construction,nse_official
AFFLE,Affle 3i Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
AFFORDABLE,Affordable Robotic & Automation Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
AFSL,Abans Financial Services Limited,Financial Services,Financial Services,Finance,Holding Company,nse_official
AGANORA,,,,,,missing
AGARIND,Agarwal Industrial Corporation Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,nse_official
AGARWALEYE,Dr. Agarwal's Health Care Limited,Healthcare,Healthcare,Healthcare Services,Hospital,nse_official
AGI,AGI Greenpac Limited,Industrials,Capital Goods,Industrial Products,Packaging,nse_official
AGIIL,Agi Infra Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
AGROPHOS,Agro Phos India Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,nse_official
AHCL,Anlon Healthcare Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
AHLADA,Ahlada Engineers Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,nse_official
