symbol,listType,setup,window,height%,depth%,len,ctr,dist%,rating,close,pivot,entry,score,range%,vol%,rexp,shares,sl,T1,T2,T3,avgVol20,avgDollarVol20,rs3m,rs6m,rs12m,rsScore,regimeState,regimeScore,rankingScore,riskR,heatAfterR
AETHER.NS,BREAKOUT,RANGE_EXPANSION,Q1(13),26.5%,20.6%,13,1/2,,A+,1155.55,1083.60,1155.55,115.5,20.6%,36.1%,2.60x,3,824.86,1486.25,1816.94,2147.64,361241.5,385654267.77,36.99,58.12,0.0,48.9,UNFAVORABLE,17.09,122.61,,
WHEELS.NS,BREAKOUT,RANGE_EXPANSION,WEEK(6),21.4%,21.8%,6,1/2,,A+,1027.20,949.95,1027.20,99.0,21.8%,0.0%,2.07x,3,757.20,1297.20,1567.21,1837.21,78516.6,74460393.37,23.26,26.48,0.0,32.54,UNFAVORABLE,17.09,100.39,,
