symbol,listType,setup,window,height%,depth%,len,ctr,dist%,rating,close,pivot,entry,score,range%,vol%,rexp,shares,sl,T1,T2,T3
PFOCUS.NS,WATCHLIST,RANGE_EXPANSION,WEEK(45),34.4%,49.5%,45,1/2,5.90%,A+,276.65,294.00,294.88,100.1,49.5%,32.9%,1.67x,11,204.72,385.04,475.20,565.36
LENSKART.NS,WATCHLIST,RANGE_EXPANSION,WEEK(30),19.9%,36.1%,30,2/2,3.25%,A+,526.20,543.90,545.53,99.8,36.1%,68.5%,1.97x,9,441.98,649.08,752.64,856.19
SHRIPISTON.NS,WATCHLIST,RANGE_EXPANSION,WEEK(45),23.0%,23.0%,45,1/2,3.84%,A+,3125.00,3249.80,3259.55,98.8,23.0%,0.0%,2.13x,1,2557.85,3961.25,4662.96,5364.66
CENTUM.NS,WATCHLIST,RANGE_EXPANSION,WEEK(20),25.7%,15.2%,20,1/2,2.57%,A+,2987.80,3066.60,3075.80,95.5,15.2%,81.5%,1.71x,1,2351.19,3800.41,4525.03,5249.64
AGIIL.NS,WATCHLIST,RANGE_EXPANSION,WEEK(45),33.1%,41.8%,45,1/2,3.32%,A+,311.70,322.40,323.37,85.0,41.8%,0.0%,1.43x,10,229.50,417.24,511.11,604.98
CCL.NS,WATCHLIST,RANGE_EXPANSION,WEEK(45),19.4%,12.3%,45,1/2,1.57%,A+,1087.60,1105.00,1108.31,81.0,12.3%,1.9%,1.61x,4,905.45,1311.18,1514.04,1716.91
ATHERENERG.NS,WATCHLIST,RANGE_EXPANSION,Q2(120),38.6%,25.8%,120,1/2,1.92%,A+,780.60,795.90,798.29,78.0,25.8%,62.7%,1.20x,3,531.83,1064.75,1331.21,1597.67
RENUKA.NS,WATCHLIST,RANGE_EXPANSION,WEEK(15),12.7%,19.1%,15,1/2,4.31%,A,24.87,25.99,26.07,72.1,19.1%,63.9%,1.48x,304,22.79,29.35,32.63,35.92
PASHUPATI.NS,WATCHLIST,VCP,WEEK(15),9.8%,58.1%,15,2/2,5.21%,A,981.10,1035.05,1038.16,68.9,58.1%,88.8%,0.00x,9,932.31,1144.00,1249.84,1355.68
VTL.NS,WATCHLIST,VCP,WEEK(45),34.1%,73.7%,45,2/2,4.82%,A,532.90,559.90,561.58,67.9,73.7%,61.3%,0.00x,5,389.05,734.11,906.65,1079.18
BANARISUG.NS,WATCHLIST,VCP,WEEK(15),10.2%,78.0%,15,2/2,5.83%,A,3602.90,3826.00,3837.48,67.6,78.0%,65.5%,0.00x,2,3439.72,4235.24,4633.00,5030.77
LUPIN.NS,WATCHLIST,RANGE_EXPANSION,WEEK(45),13.4%,23.6%,45,1/2,2.32%,B,2322.50,2377.60,2384.73,67.1,23.6%,0.0%,1.34x,3,2067.81,2701.66,3018.58,3335.50
AARVI.NS,WATCHLIST,VCP,WEEK(12),15.3%,60.2%,12,2/2,5.48%,A,130.15,137.70,138.11,66.8,60.2%,75.0%,0.00x,48,117.47,158.76,179.40,200.04
WIPL.NS,WATCHLIST,VCP,WEEK(12),9.9%,42.6%,12,2/2,3.17%,A,149.99,154.90,155.36,66.2,42.6%,65.3%,0.00x,62,139.31,171.42,187.47,203.53
LGEINDIA.NS,WATCHLIST,VCP,WEEK(30),14.1%,47.3%,30,2/2,3.21%,B,1559.70,1611.50,1616.33,55.7,47.3%,53.5%,0.00x,4,1385.04,1847.63,2078.92,2310.22
ARIES.NS,WATCHLIST,VCP,WEEK(12),12.6%,47.9%,12,2/2,5.11%,C,339.05,357.30,358.37,54.2,47.9%,45.3%,0.00x,22,313.43,403.32,448.27,493.21
FRACTAL.NS,WATCHLIST,VCP,WEEK(15),16.1%,20.2%,15,2/2,4.56%,D,823.10,862.40,864.99,49.5,20.2%,73.3%,0.00x,7,730.03,999.94,1134.90,1269.85
ORICONENT.NS,WATCHLIST,VCP,Q2(120),35.9%,31.6%,120,2/2,4.12%,C,67.50,70.40,70.61,49.5,31.6%,66.7%,0.00x,45,48.57,92.66,114.70,136.75
WONDERLA.NS,WATCHLIST,VCP,WEEK(12),11.5%,55.0%,12,2/2,3.82%,C,520.25,540.90,542.52,46.2,55.0%,44.2%,0.00x,15,479.64,605.41,668.29,731.17
NAHARSPING.NS,WATCHLIST,VCP,WEEK(45),35.7%,30.8%,45,2/2,2.62%,D,210.54,216.20,216.85,45.2,30.8%,63.7%,0.00x,14,148.45,285.24,353.64,422.03
DWARKESH.NS,WATCHLIST,VCP,WEEK(15),17.4%,20.3%,15,2/2,5.07%,D,39.68,41.80,41.93,43.9,20.3%,60.2%,0.00x,143,34.96,48.89,55.85,62.81
ABB.NS,WATCHLIST,VCP,WEEK(20),13.6%,25.6%,20,2/2,3.92%,D,6297.00,6554.00,6573.66,37.3,25.6%,59.7%,0.00x,1,5690.90,7456.42,8339.18,9221.94
OIL.NS,WATCHLIST,VCP,WEEK(12),10.2%,29.8%,12,2/2,5.47%,D,475.50,503.00,504.51,35.5,29.8%,49.2%,0.00x,19,452.13,556.89,609.27,661.65
