symbol,listType,setup,window,height%,depth%,len,ctr,dist%,rating,close,pivot,entry,score,range%,vol%,rexp,shares,sl,T1,T2,T3
ATHERENERG.NS,WATCHLIST,RANGE_EXPANSION,Q2(120),37.9%,31.0%,120,1/2,4.52%,A+,754.30,790.00,792.37,99.9,31.0%,66.1%,1.66x,3,531.83,1052.91,1313.45,1574.00
KSB.NS,WATCHLIST,RANGE_EXPANSION,WEEK(15),15.6%,19.5%,15,1/2,2.82%,A+,799.85,823.05,825.52,92.8,19.5%,94.7%,1.61x,8,700.78,950.26,1075.00,1199.74
IPCALAB.NS,WATCHLIST,RANGE_EXPANSION,Q4(240),32.3%,34.4%,240,2/2,4.90%,A+,1544.40,1624.00,1628.87,81.5,34.4%,21.6%,1.62x,2,1162.36,2095.39,2561.90,3028.41
SEAMECLTD.NS,WATCHLIST,RANGE_EXPANSION,WEEK(45),33.8%,48.7%,45,2/2,5.75%,A+,1363.50,1446.70,1451.04,80.3,48.7%,24.2%,1.40x,2,1012.81,1889.27,2327.50,2765.73
BANARISUG.NS,WATCHLIST,VCP,WEEK(12),10.2%,73.6%,12,2/2,5.83%,A+,3603.00,3826.00,3837.48,76.6,73.6%,68.6%,0.00x,2,3439.72,4235.24,4633.00,5030.77
VTL.NS,WATCHLIST,VCP,WEEK(45),34.4%,74.4%,45,2/2,5.47%,A,529.25,559.90,561.58,66.2,74.4%,54.0%,0.00x,5,389.05,734.11,906.65,1079.18
CPPLUS.NS,WATCHLIST,VCP,WEEK(15),15.8%,41.1%,15,2/2,4.80%,B,1674.50,1759.00,1764.28,59.0,41.1%,73.2%,0.00x,3,1492.50,2036.05,2307.83,2579.61
NAVINFLUOR.NS,WATCHLIST,VCP,WEEK(12),12.0%,42.8%,12,2/2,5.97%,C,6262.50,6660.00,6679.98,48.9,42.8%,45.7%,0.00x,1,5870.50,7489.46,8298.94,9108.42
LGEINDIA.NS,WATCHLIST,VCP,WEEK(30),14.2%,44.8%,30,2/2,5.27%,C,1526.60,1611.50,1616.33,48.0,44.8%,47.8%,0.00x,4,1385.04,1847.63,2078.92,2310.22
SPORTKING.NS,WATCHLIST,VCP,WEEK(30),21.3%,30.3%,30,2/2,3.30%,D,117.13,121.13,121.49,46.0,30.3%,64.7%,0.00x,40,96.84,146.14,170.79,195.44
PASHUPATI.NS,WATCHLIST,VCP,WEEK(30),27.1%,45.6%,30,2/2,4.82%,D,985.15,1035.05,1038.16,45.4,45.6%,40.1%,0.00x,3,776.10,1300.21,1562.27,1824.32
CCL.NS,WATCHLIST,VCP,Q2(120),27.0%,42.9%,120,1/2,3.73%,C,1034.30,1074.40,1077.62,44.1,42.9%,45.9%,0.00x,3,811.42,1343.82,1610.02,1876.23
SUNPHARMA.NS,WATCHLIST,VCP,WEEK(12),7.3%,31.8%,12,2/2,5.35%,D,1744.40,1843.00,1848.53,40.7,31.8%,41.5%,0.00x,6,1703.44,1993.62,2138.71,2283.80
GALAPREC.NS,WATCHLIST,VCP,WEEK(15),15.3%,42.2%,15,2/2,3.57%,D,756.05,784.00,786.35,39.2,42.2%,22.1%,0.00x,8,667.84,904.86,1023.37,1141.88
